source,data_type,data_status,chemistry,SOC_pct,fuel_sum_volpct,known_gas_sum_volpct,LFL_calculated_fuel_basis_volpct,LFL_calculated_vent_known_basis_volpct,LFL_calculated_missing_as_N2_volpct,LFL_experimental_volpct,UFL_experimental_volpct,calculation_method,calculation_note
Table1_NCM622_100SOC,literature_gas_composition_only,verified,NCM622,100.0,64.1,99.4,6.007,9.32,9.377,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM811_100SOC,literature_gas_composition_only,verified,NCM811,100.0,71.4,99.5,5.008,6.979,7.016,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM9-0.5-0.5_100SOC,literature_gas_composition_only,verified,NCM9-0.5-0.5,100.0,85.9,98.9,6.987,8.047,8.139,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_LFP_100SOC,literature_gas_composition_only,verified,LFP,100.0,72.7,98.7,4.113,5.586,5.661,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCM523_50SOC,literature_gas_composition_only,verified,NCM523,50.0,38.6,100.0,4.343,11.262,11.262,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCM523_75SOC,literature_gas_composition_only,verified,NCM523,75.0,59.1,100.0,4.548,7.699,7.699,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCM523_100SOC,literature_gas_composition_only,verified,NCM523,100.0,67.9,100.0,4.71,6.933,6.933,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCM523_115SOC,literature_gas_composition_only,verified,NCM523,115.0,69.5,100.0,4.659,6.707,6.705,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_0SOC,literature_gas_composition_only,verified,NCA,0.0,3.4,100.0,5.238,154.062,154.062,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_25SOC,literature_gas_composition_only,verified,NCA,25.0,37.2,99.9,4.236,11.375,11.387,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_50SOC,literature_gas_composition_only,verified,NCA,50.0,66.2,100.0,6.684,10.097,10.097,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_75SOC,literature_gas_composition_only,verified,NCA,75.0,79.2,100.0,6.381,8.056,8.056,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_100SOC,literature_gas_composition_only,verified,NCA,100.0,77.5,100.2,6.354,8.215,8.198,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_112SOC,literature_gas_composition_only,verified,NCA,112.0,81.2,100.0,6.729,8.287,8.287,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_120SOC,literature_gas_composition_only,verified,NCA,120.0,79.2,100.0,6.927,8.747,8.747,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_127SOC,literature_gas_composition_only,verified,NCA,127.0,83.4,99.6,6.525,7.793,7.824,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_132SOC,literature_gas_composition_only,verified,NCA,132.0,81.1,100.0,6.853,8.449,8.449,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_NCA_143SOC,literature_gas_composition_only,verified,NCA,143.0,78.0,100.0,6.529,8.37,8.37,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_LFP_0SOC,literature_gas_composition_only,verified,LFP,0.0,6.6,100.1,4.562,69.183,69.114,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_LFP_25SOC,literature_gas_composition_only,verified,LFP,25.0,14.7,100.0,4.252,28.927,28.927,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_LFP_50SOC,literature_gas_composition_only,verified,LFP,50.0,33.8,100.0,4.07,12.042,12.042,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_LFP_75SOC,literature_gas_composition_only,verified,LFP,75.0,37.4,100.0,4.171,11.153,11.153,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_LFP_100SOC,literature_gas_composition_only,verified,LFP,100.0,51.6,99.9,4.321,8.365,8.373,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_LFP_115SOC,literature_gas_composition_only,verified,LFP,115.0,47.8,100.0,4.24,8.87,8.87,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table2_LFP_130SOC,literature_gas_composition_only,verified,LFP,130.0,44.2,100.0,4.692,10.615,10.615,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.2V_30.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,45.0,83.0,9.133,16.845,20.295,19.51,54.31,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.2V_40.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,45.0,82.0,7.788,14.191,17.306,19.23,49.21,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.2V_50.0C,literature_with_experimental_label,partially_extracted,18650,,52.0,85.0,10.44,17.066,20.078,19.01,60.99,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.2V_60.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,50.0,82.0,9.854,16.161,19.709,18.95,57.89,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.3V_30.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,45.0,81.0,8.19,14.742,18.2,17.32,50.95,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.3V_40.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,51.0,78.0,10.407,15.916,20.406,16.68,62.45,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.3V_50.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,42.0,77.0,7.584,13.903,18.056,17.03,49.85,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.3V_60.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,60.0,79.0,9.696,12.767,16.161,15.31,57.86,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.4V_30.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,52.0,80.0,7.53,11.585,14.481,13.67,47.62,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.4V_40.0C,literature_gas_composition_only,partially_extracted_gas_sum_below_85,18650,,66.0,67.0,12.5,12.689,18.939,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.4V_50.0C,literature_with_experimental_label,partially_extracted_gas_sum_below_85,18650,,47.0,81.0,10.861,18.718,23.109,23.33,65.59,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table3_18650_4.4V_60.0C,literature_gas_composition_only,partially_extracted_gas_sum_below_85,18650,,50.0,71.0,12.5,17.75,25.0,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
